,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,26896464,39,9,1,1859382,1.0,1619561,239821,Paranpu Leporine,https://img2.finalfantasyxiv.com/f/4c9072504d928fcec9a33b948ed484c3_39e25ac3d737c46452305eefe324372cfc0_96x96.jpg?1645108769
1,485853,39,9,2,647265,2.0,531964,115301,Lyin Pedrous,https://img2.finalfantasyxiv.com/f/71e31cc998ede170900c062b6709b616_39e25ac3d737c46452305eefe324372cfc0_96x96.jpg?1645188672
2,18827587,39,9,3,515002,3.0,515002,0,D' G',https://img2.finalfantasyxiv.com/f/f115819da925dfff780041fce9a3f2a1_39e25ac3d737c46452305eefe324372cfc0_96x96.jpg?1644873093
3,2265699,39,9,4,441879,4.0,441879,0,Gail Larkspur,https://img2.finalfantasyxiv.com/f/7a4cf257b0453128aff04a6a23c70bcc_39e25ac3d737c46452305eefe324372cfc0_96x96.jpg?1645173480
4,3672134,39,9,5,395914,5.0,350446,45468,E'ito Vulsranh,https://img2.finalfantasyxiv.com/f/639395f0402907ffcd21c2bb584fe985_39e25ac3d737c46452305eefe324372cfc0_96x96.jpg?1645100391
5,20454929,39,9,6,366523,8.0,278462,88061,Guren Ichinose,https://img2.finalfantasyxiv.com/f/bea65a0bf1f9c2d4d22e438042df7033_39e25ac3d737c46452305eefe324372cfc0_96x96.jpg?1645123165
6,18308279,39,9,7,351235,6.0,301337,49898,Asada Maeda,https://img2.finalfantasyxiv.com/f/d5d12a8e84aa5bd5ccb93c129ddbec49_39e25ac3d737c46452305eefe324372cfc0_96x96.jpg?1645149037
7,27320319,39,9,8,339795,7.0,288032,51763,Boris Mouchakov,https://img2.finalfantasyxiv.com/f/7239e34395d9110dd5c64f83c4f9bf99_39e25ac3d737c46452305eefe324372cfc0_96x96.jpg?1645069535
8,22692090,39,9,9,296829,9.0,252619,44210,Noa Kiyama,https://img2.finalfantasyxiv.com/f/1146333e065039be04b4f1579c3b07c8_39e25ac3d737c46452305eefe324372cfc0_96x96.jpg?1645162803
9,13850972,39,9,10,204877,10.0,158189,46688,Njordur Forseti,https://img2.finalfantasyxiv.com/f/f15b093f7acb3cc1a8ef1d6aa4c8c4b0_39e25ac3d737c46452305eefe324372cfc0_96x96.jpg?1644984133
10,6646512,39,9,11,175220,14.0,95132,80088,Sebastian Brightmore,https://img2.finalfantasyxiv.com/f/e4bc44a2adfd517de83826f3fcaf7a22_39e25ac3d737c46452305eefe324372cfc0_96x96.jpg?1645129723
11,910062,39,9,12,152675,11.0,152675,0,Vyvy Lacuva,https://img2.finalfantasyxiv.com/f/34dc689604534e18b3a3eb607b826464_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1645146684
12,24969040,39,9,13,129254,12.0,129254,0,Rys' Saarai,https://img2.finalfantasyxiv.com/f/e95a60cbd1b3fd34861ce829caf7de16_39e25ac3d737c46452305eefe324372cfc0_96x96.jpg?1645154855
13,7098268,39,9,14,110730,17.0,53650,57080,Taylor Swift'cast,https://img2.finalfantasyxiv.com/f/5a3d52911527d39c2f7bf3cdb4aa3725_39e25ac3d737c46452305eefe324372cfc0_96x96.jpg?1644823718
14,11770432,39,9,15,95433,13.0,95433,0,Tornadoo Lion,https://img2.finalfantasyxiv.com/f/e275db7cf6ca09c3eb5e516838ce9112_39e25ac3d737c46452305eefe324372cfc0_96x96.jpg?1645159206
15,30397292,39,9,16,60396,15.0,60396,0,Lil Zux,https://img2.finalfantasyxiv.com/f/47033542819ff70061f38dfbfde7fa1e_39e25ac3d737c46452305eefe324372cfc0_96x96.jpg?1645109849
16,2944359,39,9,17,56888,16.0,56708,180,Khalu Nayeli,https://img2.finalfantasyxiv.com/f/528a13d6c5b44eea6f165bf19787fc4c_39e25ac3d737c46452305eefe324372cfc0_96x96.jpg?1645048146
17,22268329,39,9,18,52838,18.0,52838,0,Ori'anna Indarys,https://img2.finalfantasyxiv.com/f/30d8cebb1bfb0d59e29d3a85f9c14c81_39e25ac3d737c46452305eefe324372cfc0_96x96.jpg?1644831925
