,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,18376056,81,12,1,666420,2.0,500268,166152,Amiable Ivy,https://img2.finalfantasyxiv.com/f/dab64af88d288b251ade0dc4f0e41185_8e81e2940511f7152ba4462fe53e35b8fc0_96x96.jpg?1644876053
1,286887,81,12,2,523571,1.0,523571,0,Pepperoni Rigatoni,https://img2.finalfantasyxiv.com/f/67bdcdefca5c409af0237b7a4bdf4819_8e81e2940511f7152ba4462fe53e35b8fc0_96x96.jpg?1645134321
2,17384808,81,12,3,444203,3.0,430621,13582,L'ara Fenwilt,https://img2.finalfantasyxiv.com/f/8c2f2c789c36cb5a31ec46d0ebacab76_8e81e2940511f7152ba4462fe53e35b8fc0_96x96.jpg?1645147461
3,27028585,81,12,4,387111,5.0,303464,83647,Catrina Deathbringer,https://img2.finalfantasyxiv.com/f/0c78627934de28fc6ae32bca197fc8b1_8e81e2940511f7152ba4462fe53e35b8fc0_96x96.jpg?1644906443
4,13716516,81,12,5,318399,4.0,318399,0,Lunaris Lipson,https://img2.finalfantasyxiv.com/f/463d8adefc8440310a67041197414345_8e81e2940511f7152ba4462fe53e35b8fc0_96x96.jpg?1645119026
5,10949610,81,12,6,254142,6.0,254142,0,Uzari Azari,https://img2.finalfantasyxiv.com/f/5b5e0bf627b8bc2693dea8b9c69da182_8e81e2940511f7152ba4462fe53e35b8fc0_96x96.jpg?1645133151
6,15387232,81,12,7,178129,7.0,161915,16214,Octavian Laeta,https://img2.finalfantasyxiv.com/f/beaf4820567537bc19fb5fc156db7379_8e81e2940511f7152ba4462fe53e35b8fc0_96x96.jpg?1645149682
7,30972945,81,12,8,157838,8.0,157838,0,Nui Zui,https://img2.finalfantasyxiv.com/f/f19ae40e7ddc0bd8edbb8be2c66fb86b_8e81e2940511f7152ba4462fe53e35b8fc0_96x96.jpg?1644630537
8,18714969,81,12,9,110308,9.0,110308,0,Baked Popoto,https://img2.finalfantasyxiv.com/f/de1ddacb8bfeb36b604dd5fa380d16dc_8e81e2940511f7152ba4462fe53e35b8fc0_96x96.jpg?1645151876
9,267526,81,12,10,88449,10.0,88449,0,Cia Mir,https://img2.finalfantasyxiv.com/f/1ba52a6ce10c7f6dcd9cbef4dc74e19f_8e81e2940511f7152ba4462fe53e35b8fc0_96x96.jpg?1645043155
10,27094575,81,12,11,83222,12.0,49534,33688,Lunalu Embersilk,https://img2.finalfantasyxiv.com/f/5df34a89fa849b2e7923f7c13617f538_8e81e2940511f7152ba4462fe53e35b8fc0_96x96.jpg?1645030190
11,2113474,81,12,12,69684,11.0,69684,0,Vidi Burns,https://img2.finalfantasyxiv.com/f/d9349f5a556cbbc1c64ba317d4b51e6a_8e81e2940511f7152ba4462fe53e35b8fc0_96x96.jpg?1645157653
12,30394477,81,12,13,56741,13.0,30893,25848,Dew Talamh,https://img2.finalfantasyxiv.com/f/cd5a439a363b76e190d19c823f973c47_8e81e2940511f7152ba4462fe53e35b8fc0_96x96.jpg?1644924635
13,30317674,81,12,14,32819,14.0,25531,7288,Mr Lahey,https://img2.finalfantasyxiv.com/f/b9a40845d22c704aa06de4a330386bf7_8e81e2940511f7152ba4462fe53e35b8fc0_96x96.jpg?1644862193
14,10531626,81,12,15,24873,15.0,24873,0,Heart Block,https://img2.finalfantasyxiv.com/f/b9239c14e53e313661e10e8327699430_8e81e2940511f7152ba4462fe53e35b8fc0_96x96.jpg?1645057196
15,28983675,81,12,16,24745,19.0,8984,15761,Penama Krire,https://img2.finalfantasyxiv.com/f/46e32ad3e4ee1d07d61c184fd1c2417d_8e81e2940511f7152ba4462fe53e35b8fc0_96x96.jpg?1644699445
