,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,21475111,49,15,1,589376,1.0,589376,0,Pickle Tickle,https://img2.finalfantasyxiv.com/f/c37a86cdc1273837cb0a7979dd10288d_30a5f9eadea6e0cb684a5265362d0d59fc0_96x96.jpg?1644906862
1,24310510,49,15,2,506069,2.0,506069,0,K'yo Murasaki,https://img2.finalfantasyxiv.com/f/2291209237e45ee973ac91eb8792e2f6_72c48f093f2278ac3243962d3eb6a8d7fc0_96x96.jpg?1644955853
2,19728335,49,15,3,481626,3.0,325198,156428,Eris White,https://img2.finalfantasyxiv.com/f/332a009705c8ad21ee77cfc146c3c78f_72c48f093f2278ac3243962d3eb6a8d7fc0_96x96.jpg?1645101144
3,20851140,49,15,4,340742,4.0,301502,39240,Rising Soowoop,https://img2.finalfantasyxiv.com/f/2ede61810cb474605bcf4a7138cd01cb_72c48f093f2278ac3243962d3eb6a8d7fc0_96x96.jpg?1645125107
4,1659228,49,15,5,338485,7.0,213499,124986,Lotte Latte,https://img2.finalfantasyxiv.com/f/ca2d073bd7785ccb872698aefe9b6221_410ddb5a66a2fcacf538bec5ea5d0291fc0_96x96.jpg?1645128995
5,27341635,49,15,6,318840,5.0,263628,55212,Seiro Follis,https://img2.finalfantasyxiv.com/f/579ca93bb5fa42f3887aff180b296c99_72c48f093f2278ac3243962d3eb6a8d7fc0_96x96.jpg?1645062729
6,21165296,49,15,7,270927,6.0,220827,50100,Haru Cocoa,https://img2.finalfantasyxiv.com/f/7a20df73194ba4875ac7d5d86455ac3e_72c48f093f2278ac3243962d3eb6a8d7fc0_96x96.jpg?1645028010
7,24039455,49,15,8,270829,9.0,205602,65227,Hitsuji Hitsuji,https://img2.finalfantasyxiv.com/f/57128a966e687a4f7d33575af334f935_806ea5b45071d5cd6bf393e38462ee71fc0_96x96.jpg?1645159305
8,18400032,49,15,9,261762,8.0,209655,52107,Fiore Liberi,https://img2.finalfantasyxiv.com/f/f77a756d9197088e7195f99022871739_72c48f093f2278ac3243962d3eb6a8d7fc0_96x96.jpg?1644810192
9,29509480,49,15,10,252008,10.0,201008,51000,Tuffy Luffy,https://img2.finalfantasyxiv.com/f/a5f1f34eb1e34c071548b8724d485d9d_72c48f093f2278ac3243962d3eb6a8d7fc0_96x96.jpg?1645114012
10,14390763,49,15,11,237669,12.0,192815,44854,Adalbert Fahrenheit,https://img2.finalfantasyxiv.com/f/105ecf6761ea1bbc8efc72ff65ccc982_72c48f093f2278ac3243962d3eb6a8d7fc0_96x96.jpg?1645170604
11,6389824,49,15,12,230638,14.0,180532,50106,Terry Bonaparte,https://img2.finalfantasyxiv.com/f/95c3401d44e061bb374c712117534198_72c48f093f2278ac3243962d3eb6a8d7fc0_96x96.jpg?1645059167
12,3881021,49,15,13,210394,11.0,195454,14940,Nickel Oxide,https://img2.finalfantasyxiv.com/f/c72965adca6234945c313f594c756e8f_72c48f093f2278ac3243962d3eb6a8d7fc0_96x96.jpg?1644835945
13,30164271,49,15,14,203129,13.0,192308,10821,X'ghonako Xhalu,https://img2.finalfantasyxiv.com/f/a82c91b810ac5b90b98b0a560ec163ab_72c48f093f2278ac3243962d3eb6a8d7fc0_96x96.jpg?1645045597
14,26376348,49,15,15,184087,18.0,96760,87327,Towa Gocewa,https://img2.finalfantasyxiv.com/f/a67dc6efdbe21e3e822116e4e96bf7e4_72c48f093f2278ac3243962d3eb6a8d7fc0_96x96.jpg?1644788309
15,15039868,49,15,16,158933,15.0,141689,17244,Purin Muccin,https://img2.finalfantasyxiv.com/f/a7d7377ecfd1fba0ffb43d19acb94e9c_72c48f093f2278ac3243962d3eb6a8d7fc0_96x96.jpg?1644905484
16,18551191,49,15,17,130695,17.0,111149,19546,Primus Palus,https://img2.finalfantasyxiv.com/f/05baba264ebb30c3f0bd373b5b5ada7d_1fa3a1b3845481a1b67b46854a3cc49afc0_96x96.jpg?1644814612
