,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,28840347,83,8,1,300066,2.0,171538,128528,Nobume Ciryse,https://img2.finalfantasyxiv.com/f/a67760b415e2dec1d111ab8c75d0bca9_0a122616f3718d3f45cab10fd8fc1604fc0_96x96.jpg?1645141809
1,30112864,83,8,2,242050,1.0,200023,42027,Himura Shironeko,https://img2.finalfantasyxiv.com/f/5fd18df02d3b792cfa2ec3bd3ebc75f6_0a122616f3718d3f45cab10fd8fc1604fc0_96x96.jpg?1645176896
2,9406985,83,8,3,145334,3.0,129507,15827,Polly Vesperia,https://img2.finalfantasyxiv.com/f/e95f77e25525121772887a511dd3938c_0a122616f3718d3f45cab10fd8fc1604fc0_96x96.jpg?1645066716
3,13653024,83,8,4,129950,5.0,91159,38791,X'enya Shikori,https://img2.finalfantasyxiv.com/f/375acbbd0412e4b279a87f90e2b2d3e3_0a122616f3718d3f45cab10fd8fc1604fc0_96x96.jpg?1645186840
4,14268099,83,8,5,100822,4.0,100822,0,Ryoko Otonashi,https://img2.finalfantasyxiv.com/f/46e486fb29eb071c7fd61db1c576469e_0a122616f3718d3f45cab10fd8fc1604fc0_96x96.jpg?1645129992
5,18676724,83,8,6,75659,8.0,51739,23920,Vorfeed Viridis,https://img2.finalfantasyxiv.com/f/9bcb6d0e628411e57224d11dfa593d3b_0a122616f3718d3f45cab10fd8fc1604fc0_96x96.jpg?1645157100
6,5835258,83,8,7,74923,6.0,58598,16325,K'haelys Miyuchi,https://img2.finalfantasyxiv.com/f/37bfb6fddc776ce968e3440a160c1523_0a122616f3718d3f45cab10fd8fc1604fc0_96x96.jpg?1645047125
7,2819903,83,8,8,69861,7.0,57827,12034,Gilthoniel Elentari,https://img2.finalfantasyxiv.com/f/963a12d3cccf497b90d6920ac21b34cc_644311b63b607133c989d7c1188467dafc0_96x96.jpg?1644911304
8,31628343,83,8,9,54618,12.0,32565,22053,Vivi Neverberry,https://img2.finalfantasyxiv.com/f/c451879a7dbf392c725c262c2b474826_0a122616f3718d3f45cab10fd8fc1604fc0_96x96.jpg?1645194938
9,17681575,83,8,10,52844,9.0,37593,15251,Taeris Kha,https://img2.finalfantasyxiv.com/f/02079147d99cde9fbd4c7c12400a18ed_0a122616f3718d3f45cab10fd8fc1604fc0_96x96.jpg?1645113297
