,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,26448785,85,16,1,624781,1.0,541186,83595,Rjsha Vindr,https://img2.finalfantasyxiv.com/f/91e5d20706b6c5dd82c4cead58b1967f_feaf0a2e88ff164813fbc9b85876fa48fc0_96x96.jpg?1645126945
1,21967138,85,16,2,502848,2.0,435628,67220,Plu Patredis,https://img2.finalfantasyxiv.com/f/9eae853b8f2333db35e901bc2562dc8b_feaf0a2e88ff164813fbc9b85876fa48fc0_96x96.jpg?1645136603
2,27875892,85,16,3,392251,3.0,357300,34951,Ailen Lowell,https://img2.finalfantasyxiv.com/f/618256a3062a8a712edcab8a6d07457e_feaf0a2e88ff164813fbc9b85876fa48fc0_96x96.jpg?1645166831
3,27953046,85,16,4,302205,8.0,242107,60098,Solty Revant,https://img2.finalfantasyxiv.com/f/c0d9769dadccc37113927c4c5784b577_feaf0a2e88ff164813fbc9b85876fa48fc0_96x96.jpg?1644638176
4,20766706,85,16,5,301771,10.0,208465,93306,Capitan Biscotto,https://img2.finalfantasyxiv.com/f/0d54ecfbd5200118647bd1d4e8f63b9c_feaf0a2e88ff164813fbc9b85876fa48fc0_96x96.jpg?1645054427
5,7488620,85,16,6,294762,4.0,294762,0,Encioo Tash,https://img2.finalfantasyxiv.com/f/31aff76c03903064c9429a0e6a0ae6eb_feaf0a2e88ff164813fbc9b85876fa48fc0_96x96.jpg?1645083027
6,26103238,85,16,7,288214,6.0,248780,39434,Payne Xan,https://img2.finalfantasyxiv.com/f/9c178415fe50f9d1e526a2e8b97bc59a_feaf0a2e88ff164813fbc9b85876fa48fc0_96x96.jpg?1645063849
7,11021369,85,16,8,281768,5.0,253711,28057,Kyouma Hiyajo,https://img2.finalfantasyxiv.com/f/f944c7cd5ed9835251382a9b86aca793_feaf0a2e88ff164813fbc9b85876fa48fc0_96x96.jpg?1644989661
8,16213291,85,16,9,271640,7.0,242110,29530,Millennium Spark,https://img2.finalfantasyxiv.com/f/5df3c29b87590cb0fb370c6257c7aa6e_feaf0a2e88ff164813fbc9b85876fa48fc0_96x96.jpg?1645191200
9,30379862,85,16,10,271625,11.0,206890,64735,Nyressia Whisperwind,https://img2.finalfantasyxiv.com/f/ecbb41be74e291aecf5eaf46183d2a2f_feaf0a2e88ff164813fbc9b85876fa48fc0_96x96.jpg?1645170852
